City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Harlingen,US,2021-11-08 20:25:24,26.1906,-97.6961,302.25,53,75,6.17
180,Ilulissat,GL,2021-11-08 20:25:25,69.2167,-51.1,250.91,76,6,2.95
181,Qui Nhon,VN,2021-11-08 20:25:25,13.7667,109.2333,298.46,90,99,7.19
182,Mayumba,GA,2021-11-08 20:25:25,-3.432,10.6554,298.72,91,96,2.63
183,Nyurba,RU,2021-11-08 20:25:26,63.2842,118.3319,270.13,96,100,3.63
184,Saskylakh,RU,2021-11-08 20:25:26,71.9167,114.0833,262.18,96,100,2.54
185,Narendranagar,IN,2021-11-08 20:26:27,30.1667,78.3,283.84,65,0,2.47
186,Kamyshevatskaya,RU,2021-11-08 20:26:28,46.4132,37.9563,285.31,95,99,4.51
187,Lebu,CL,2021-11-08 20:26:28,-37.6167,-73.65,287.57,80,7,6.7
188,Mar Del Plata,AR,2021-11-08 20:26:28,-38.0023,-57.5575,291.16,90,40,4.47
189,Hovd,MN,2021-11-08 20:26:29,48.0056,91.6419,265.5,53,0,0.45
190,Hithadhoo,MV,2021-11-08 20:26:29,-0.6,73.0833,300.54,77,95,6.42
191,Chapais,CA,2021-11-08 20:26:30,49.7834,-74.8492,281.03,76,87,4.35
192,Sao Francisco De Paula,BR,2021-11-08 20:26:30,-29.4481,-50.5836,294.19,58,2,2.83
193,Katherine,AU,2021-11-08 20:26:31,-14.4667,132.2667,299.33,94,75,1.54
194,Hambantota,LK,2021-11-08 20:26:31,6.1241,81.1185,297.06,90,100,4.55
195,Ballina,AU,2021-11-08 20:26:31,-28.8667,153.5667,292.13,96,100,1.03
196,Bam,IR,2021-11-08 20:26:32,29.106,58.357,285.39,51,31,1.0
197,Southbridge,US,2021-11-08 20:26:32,42.0751,-72.0334,290.56,49,0,1.91
198,Piacabucu,BR,2021-11-08 20:26:33,-10.4056,-36.4344,300.0,80,21,6.25
199,Douglas,US,2021-11-08 20:26:33,41.3,-96.167,291.34,59,1,3.13
200,Sistranda,NO,2021-11-08 20:26:34,63.7256,8.834,275.32,66,100,6.74
201,Dingle,PH,2021-11-08 20:26:34,10.9995,122.6711,297.78,93,99,3.36
202,Olafsvik,IS,2021-11-08 20:26:34,64.8945,-23.7142,277.37,96,100,8.41
203,Jumla,NP,2021-11-08 20:26:35,29.2747,82.1838,278.69,37,1,2.1
204,Kaset Sombun,TH,2021-11-08 20:26:35,16.2805,101.9542,293.64,91,80,1.52
205,Saldanha,ZA,2021-11-08 20:26:36,-33.0117,17.9442,287.18,73,0,4.61
206,Ziyang,CN,2021-11-08 20:26:36,29.2497,117.8547,276.87,66,88,0.56
207,Grand Gaube,MU,2021-11-08 20:26:36,-20.0064,57.6608,298.37,86,15,2.24
208,The Valley,AI,2021-11-08 20:26:37,18.217,-63.0578,304.07,65,20,2.57
209,Sibolga,ID,2021-11-08 20:26:37,1.7427,98.7792,296.21,88,73,1.35
210,Nantucket,US,2021-11-08 20:25:50,41.2835,-70.0995,287.23,67,1,9.77
211,Hasaki,JP,2021-11-08 20:26:38,35.7333,140.8333,290.37,76,94,8.39
212,Abu Dhabi,AE,2021-11-08 20:22:47,24.4667,54.3667,299.16,44,0,2.57
213,Haines Junction,CA,2021-11-08 20:26:39,60.7522,-137.5108,259.12,92,62,0.51
